Epoch	Train_Perplexity	Test_Perplexity	Accuracy	Precision	Recall	F1
1	137.2387	141.6420	0.2231	0.0019	0.0027	0.0019
2	88.7769	93.3230	0.2424	0.0091	0.0113	0.0090
3	68.7316	73.6148	0.2514	0.0135	0.0130	0.0104
4	56.7841	62.0521	0.2586	0.0143	0.0163	0.0128
5	48.9626	54.1570	0.2637	0.0090	0.0105	0.0082
6	43.5603	48.9901	0.2690	0.0107	0.0139	0.0104
7	39.4934	44.7667	0.2717	0.0144	0.0162	0.0129
8	36.2624	41.6822	0.2782	0.0227	0.0241	0.0195
9	33.8583	39.2192	0.2855	0.0296	0.0301	0.0254
10	31.8689	37.2491	0.2861	0.0345	0.0363	0.0307
11	30.3973	35.6847	0.2916	0.0423	0.0456	0.0375
12	29.0132	33.9644	0.2935	0.0477	0.0508	0.0428
13	28.0612	32.9426	0.2967	0.0533	0.0558	0.0469
14	27.0991	31.9482	0.2999	0.0598	0.0620	0.0526
15	26.2481	30.8937	0.3018	0.0649	0.0668	0.0571
16	25.5445	30.1991	0.3045	0.0709	0.0714	0.0613
17	25.0577	29.6476	0.3069	0.0770	0.0769	0.0677
18	24.6959	29.3496	0.3046	0.0782	0.0793	0.0680
19	24.2874	28.8643	0.3097	0.0828	0.0820	0.0708
20	23.8276	28.2077	0.3132	0.0856	0.0859	0.0740
21	23.4515	27.9065	0.3151	0.0868	0.0886	0.0760
22	23.1319	27.4950	0.3147	0.0877	0.0883	0.0772
23	22.9703	27.2963	0.3144	0.0926	0.0910	0.0792
24	22.7694	27.0210	0.3174	0.0969	0.0950	0.0831
25	22.5220	26.8824	0.3149	0.0914	0.0907	0.0792
26	22.4220	26.7716	0.3175	0.0963	0.0974	0.0836
27	22.1204	26.4126	0.3173	0.0969	0.0991	0.0846
28	21.8625	26.1241	0.3204	0.0959	0.0956	0.0834
29	21.7546	25.9855	0.3204	0.0980	0.0971	0.0844
30	21.6736	25.9116	0.3192	0.0990	0.0993	0.0858
31	21.4835	25.7500	0.3227	0.0988	0.0946	0.0839
32	21.3122	25.6228	0.3201	0.0944	0.0949	0.0822
33	21.2204	25.4814	0.3193	0.0990	0.0949	0.0839
34	21.1239	25.2654	0.3216	0.1025	0.1025	0.0892
35	20.9308	25.0258	0.3195	0.1018	0.1000	0.0882
36	20.9284	25.1259	0.3216	0.1028	0.1017	0.0886
37	20.8082	24.9170	0.3196	0.1026	0.1015	0.0877
38	20.7548	24.9886	0.3209	0.1010	0.1011	0.0883
39	20.6280	24.6554	0.3238	0.1006	0.1007	0.0874
40	20.5737	24.6538	0.3248	0.1010	0.0996	0.0874
41	20.4861	24.6482	0.3241	0.1060	0.1049	0.0916
42	20.3328	24.4803	0.3230	0.1020	0.1014	0.0887
43	20.3647	24.5598	0.3235	0.1062	0.1051	0.0915
44	20.2492	24.4661	0.3215	0.1004	0.1004	0.0875
45	20.3152	24.4127	0.3237	0.1016	0.1031	0.0898
46	20.3261	24.5038	0.3209	0.1022	0.1044	0.0899
47	20.1475	24.1836	0.3223	0.1034	0.1010	0.0893
48	20.0562	24.1424	0.3261	0.1075	0.1046	0.0918
49	19.9682	24.0223	0.3231	0.1049	0.1029	0.0899
50	19.9246	23.9499	0.3243	0.1055	0.1032	0.0897
