Epoch	Train_Perplexity	Test_Perplexity	Accuracy	Precision	Recall	F1
1	173.2453	187.9147	0.1829	0.0007	0.0007	0.0003
2	114.3653	127.4249	0.2259	0.0019	0.0032	0.0021
3	90.1346	101.3299	0.2307	0.0148	0.0276	0.0173
4	77.0357	87.3520	0.2385	0.0192	0.0308	0.0201
5	68.1980	77.6176	0.2514	0.0087	0.0112	0.0084
6	61.0441	69.7848	0.2561	0.0107	0.0125	0.0103
7	55.1541	63.3648	0.2606	0.0114	0.0139	0.0112
8	50.5576	58.4413	0.2635	0.0121	0.0147	0.0116
9	46.9111	54.2423	0.2672	0.0116	0.0150	0.0121
10	43.8573	50.9714	0.2705	0.0077	0.0088	0.0071
