Epoch	Train_Perplexity	Test_Perplexity	Accuracy	Precision	Recall	F1
1	129.5000	136.0076	0.2246	0.0181	0.0257	0.0178
2	93.3858	99.7223	0.2339	0.0159	0.0300	0.0181
3	74.9049	81.6098	0.2474	0.0101	0.0117	0.0090
4	63.6496	70.4260	0.2534	0.0053	0.0067	0.0050
5	56.1001	62.9952	0.2587	0.0069	0.0075	0.0058
6	50.1819	56.9228	0.2630	0.0088	0.0086	0.0070
7	46.6890	53.6710	0.2672	0.0099	0.0103	0.0086
8	43.3457	50.4029	0.2704	0.0114	0.0126	0.0101
9	40.3708	47.2311	0.2739	0.0200	0.0198	0.0174
10	38.1861	44.6670	0.2790	0.0213	0.0228	0.0200
